ACC=0.676624, f1_macro=0.672583, precision_macro=0.693449, recall_macro=0.695479, f1_micro=0.676624, precision_micro=0.676624, recall_micro=0.676624, NMI=0.309023, ADJ_RAND_SCORE=0.298108
ACC=0.676523, f1_macro=0.672484, precision_macro=0.693339, recall_macro=0.695393, f1_micro=0.676523, precision_micro=0.676523, recall_micro=0.676523, NMI=0.308904, ADJ_RAND_SCORE=0.297959
ACC=0.676675, f1_macro=0.672675, precision_macro=0.693960, recall_macro=0.695453, f1_micro=0.676675, precision_micro=0.676675, recall_micro=0.676675, NMI=0.309522, ADJ_RAND_SCORE=0.298431
ACC=0.676624, f1_macro=0.672583, precision_macro=0.693449, recall_macro=0.695479, f1_micro=0.676624, precision_micro=0.676624, recall_micro=0.676624, NMI=0.309023, ADJ_RAND_SCORE=0.298108
ACC=0.676523, f1_macro=0.672500, precision_macro=0.693751, recall_macro=0.695324, f1_micro=0.676523, precision_micro=0.676523, recall_micro=0.676523, NMI=0.309248, ADJ_RAND_SCORE=0.298174
ACC=0.676574, f1_macro=0.672533, precision_macro=0.693394, recall_macro=0.695436, f1_micro=0.676574, precision_micro=0.676574, recall_micro=0.676574, NMI=0.308963, ADJ_RAND_SCORE=0.298034
ACC=0.678602, f1_macro=0.674563, precision_macro=0.694595, recall_macro=0.697241, f1_micro=0.678602, precision_micro=0.678602, recall_micro=0.678602, NMI=0.309142, ADJ_RAND_SCORE=0.299611
ACC=0.678602, f1_macro=0.674600, precision_macro=0.694659, recall_macro=0.697241, f1_micro=0.678602, precision_micro=0.678602, recall_micro=0.678602, NMI=0.309281, ADJ_RAND_SCORE=0.299657
ACC=0.678349, f1_macro=0.674332, precision_macro=0.694514, recall_macro=0.697030, f1_micro=0.678349, precision_micro=0.678349, recall_micro=0.678349, NMI=0.309203, ADJ_RAND_SCORE=0.299429
ACC=0.678399, f1_macro=0.674371, precision_macro=0.694584, recall_macro=0.697073, f1_micro=0.678399, precision_micro=0.678399, recall_micro=0.678399, NMI=0.309336, ADJ_RAND_SCORE=0.299518
ACC=0.678653, f1_macro=0.674611, precision_macro=0.694618, recall_macro=0.697322, f1_micro=0.678653, precision_micro=0.678653, recall_micro=0.678653, NMI=0.309272, ADJ_RAND_SCORE=0.299708
ACC=0.678349, f1_macro=0.674332, precision_macro=0.694514, recall_macro=0.697030, f1_micro=0.678349, precision_micro=0.678349, recall_micro=0.678349, NMI=0.309203, ADJ_RAND_SCORE=0.299429
ACC=0.678399, f1_macro=0.674381, precision_macro=0.694569, recall_macro=0.697073, f1_micro=0.678399, precision_micro=0.678399, recall_micro=0.678399, NMI=0.309263, ADJ_RAND_SCORE=0.299504
ACC=0.678399, f1_macro=0.674381, precision_macro=0.694569, recall_macro=0.697073, f1_micro=0.678399, precision_micro=0.678399, recall_micro=0.678399, NMI=0.309263, ADJ_RAND_SCORE=0.299504
ACC=0.678349, f1_macro=0.674332, precision_macro=0.694514, recall_macro=0.697030, f1_micro=0.678349, precision_micro=0.678349, recall_micro=0.678349, NMI=0.309203, ADJ_RAND_SCORE=0.299429
ACC=0.678349, f1_macro=0.674332, precision_macro=0.694514, recall_macro=0.697030, f1_micro=0.678349, precision_micro=0.678349, recall_micro=0.678349, NMI=0.309203, ADJ_RAND_SCORE=0.299429
ACC=0.680479, f1_macro=0.676021, precision_macro=0.695878, recall_macro=0.698854, f1_micro=0.680479, precision_micro=0.680479, recall_micro=0.680479, NMI=0.310485, ADJ_RAND_SCORE=0.301592
ACC=0.680479, f1_macro=0.676021, precision_macro=0.695878, recall_macro=0.698854, f1_micro=0.680479, precision_micro=0.680479, recall_micro=0.680479, NMI=0.310485, ADJ_RAND_SCORE=0.301592
ACC=0.680479, f1_macro=0.676021, precision_macro=0.695878, recall_macro=0.698854, f1_micro=0.680479, precision_micro=0.680479, recall_micro=0.680479, NMI=0.310485, ADJ_RAND_SCORE=0.301592
ACC=0.680479, f1_macro=0.676021, precision_macro=0.695878, recall_macro=0.698854, f1_micro=0.680479, precision_micro=0.680479, recall_micro=0.680479, NMI=0.310485, ADJ_RAND_SCORE=0.301592
ACC=0.680479, f1_macro=0.676021, precision_macro=0.695878, recall_macro=0.698854, f1_micro=0.680479, precision_micro=0.680479, recall_micro=0.680479, NMI=0.310485, ADJ_RAND_SCORE=0.301592
ACC=0.680479, f1_macro=0.676021, precision_macro=0.695878, recall_macro=0.698854, f1_micro=0.680479, precision_micro=0.680479, recall_micro=0.680479, NMI=0.310485, ADJ_RAND_SCORE=0.301592
ACC=0.680479, f1_macro=0.676021, precision_macro=0.695878, recall_macro=0.698854, f1_micro=0.680479, precision_micro=0.680479, recall_micro=0.680479, NMI=0.310485, ADJ_RAND_SCORE=0.301592
